TRIAL_INDEX	KEYPRESS	letter	expected	RESPONSE	trial	image	trial_type	locationid	location	RT	SACCADE_RT
1	z	X	z	CORRECT	10	FN_2.jpg	Practice	RIGHT	"(974, 330)"	691	165
2	z	X	z	CORRECT	3	FN_1.jpg	Practice	RIGHT	"(974, 330)"	743	174
3	z	P	z	CORRECT	5	MN_2.jpg	Practice	LEFT	"(50, 330)"	500	169
4	z	P	z	CORRECT	6	MN_3.jpg	Practice	LEFT	"(50, 330)"	462	142
5	z	P	z	CORRECT	8	MN_3.jpg	Practice	RIGHT	"(974, 330)"	517	147
6	z	X	z	CORRECT	1	MN_2.jpg	Practice	LEFT	"(50, 330)"	484	153
8	/	P	/	CORRECT	11	MN_2.jpg	Practice	LEFT	"(50, 330)"	592	124
9	z	X	z	CORRECT	9	FN_1.jpg	Practice	LEFT	"(50, 330)"	532	116
10	/	P	/	CORRECT	12	MN_3.jpg	Practice	RIGHT	"(974, 330)"	697	165
11	/	X	z	INCORRECT	4	FN_2.jpg	Practice	RIGHT	"(974, 330)"	633	172
12	z	P	z	CORRECT	7	MN_2.jpg	Practice	RIGHT	"(974, 330)"	590	157
13	z	X	z	CORRECT	2	MN_3.jpg	Practice	LEFT	"(50, 330)"	525	144
14	z	X	z	CORRECT	11	MF_2.jpg	Experimental	LEFT	"(50, 330)"	639	153
15	/	P	/	CORRECT	148	MH_3.jpg	Experimental	LEFT	"(50, 330)"	490	120
16	z	X	z	CORRECT	201	MN_2.jpg	Experimental	RIGHT	"(974, 330)"	493	158
17	/	P	/	CORRECT	216	MN_3.jpg	Experimental	LEFT	"(50, 330)"	564	104
18	/	P	/	CORRECT	208	MN_2.jpg	Experimental	LEFT	"(50, 330)"	552	152
19	z	X	z	CORRECT	25	MF_3.jpg	Experimental	RIGHT	"(974, 330)"	710	-1
20	z	X	z	CORRECT	37	FF_1.jpg	Experimental	RIGHT	"(974, 330)"	558	-1
21	/	P	/	CORRECT	134	MH_2.jpg	Experimental	RIGHT	"(974, 330)"	640	95
23	z	X	z	CORRECT	111	FA_1.jpg	Experimental	LEFT	"(50, 330)"	537	83
24	z	X	z	CORRECT	227	FN_1.jpg	Experimental	LEFT	"(50, 330)"	766	145
26	/	P	/	CORRECT	162	FH_1.jpg	Experimental	RIGHT	"(974, 330)"	695	-1
27	z	X	z	CORRECT	211	MN_3.jpg	Experimental	LEFT	"(50, 330)"	566	135
